qualifying_id,race_id,driver_id,position,q1_time,q2_time,q3_time
10109,1122,ocon,17,1:29.475,,
10110,1122,gasly,18,1:29.479,,
10111,1122,sargeant,19,1:29.526,,
10112,1122,zhou,20,\N,\N,\N
10113,1123,max_verstappen,1,1:16.819,1:16.387,1:15.915
10114,1123,sainz,2,1:16.731,1:16.189,1:16.185
10115,1123,perez,3,1:16.805,1:16.631,1:16.274
10116,1123,norris,4,1:17.430,1:16.750,1:16.315
10117,1123,leclerc,5,1:16.984,1:16.304,1:16.435
10118,1123,piastri,6,1:17.369,1:16.601,1:16.572
10119,1123,russell,7,1:17.062,1:16.901,1:16.724
10120,1123,tsunoda,8,1:17.356,1:16.791,1:16.788
10121,1123,stroll,9,1:17.376,1:16.780,1:17.072
10122,1123,alonso,10,1:16.991,1:16.710,1:17.552
10123,1123,hamilton,11,1:17.499,1:16.960,\N
10124,1123,albon,12,1:17.130,1:17.167,\N
10125,1123,bottas,13,1:17.543,1:17.340,\N
10126,1123,kevin_magnussen,14,1:17.709,1:17.427,\N
10127,1123,ocon,15,1:17.617,1:17.697,\N
10128,1123,hulkenberg,16,1:17.976,\N,\N
10129,1123,gasly,17,1:17.982,\N,\N
10130,1123,ricciardo,18,1:18.085,\N,\N
10131,1123,zhou,19,1:18.188,\N,\N
10132,1124,max_verstappen,1,1:28.866,1:28.740,1:28.197
10133,1124,perez,2,1:29.303,1:28.752,1:28.263
10134,1124,norris,3,1:29.536,1:28.940,1:28.489
10135,1124,sainz,4,1:29.513,1:29.099,1:28.682
10136,1124,alonso,5,1:29.254,1:29.082,1:28.686
10137,1124,piastri,6,1:29.425,1:29.148,1:28.760
10138,1124,hamilton,7,1:29.661,1:28.887,1:28.766
10139,1124,leclerc,8,1:29.338,1:29.196,1:28.786
10140,1124,russell,9,1:29.799,1:29.140,1:29.008
10141,1124,tsunoda,10,1:29.775,1:29.417,1:29.413
10142,1124,ricciardo,11,1:29.727,1:29.472,\N
10143,1124,hulkenberg,12,1:29.821,1:29.494,\N
10144,1124,bottas,13,1:29.602,1:29.593,\N
10145,1124,albon,14,1:29.963,1:29.714,\N
10146,1124,ocon,15,1:29.811,1:29.816,\N
10147,1124,stroll,16,1:30.024,\N,\N
10148,1124,gasly,17,1:30.119,\N,\N
10149,1124,kevin_magnussen,18,1:30.131,\N,\N
10150,1124,sargeant,19,1:30.139,\N,\N
10151,1124,zhou,20,1:30.143,\N,\N
10152,1125,max_verstappen,1,1:34.742,1:33.794,1:33.660
10153,1125,perez,2,1:35.457,1:34.026,1:33.982
10154,1125,alonso,3,1:35.116,1:34.652,1:34.148
10155,1125,norris,4,1:34.842,1:34.460,1:34.165
10156,1125,piastri,5,1:35.014,1:34.659,1:34.273
10157,1125,leclerc,6,1:34.797,1:34.399,1:34.289
10158,1125,sainz,7,1:34.970,1:34.368,1:34.297
10159,1125,russell,8,1:35.084,1:34.609,1:34.433
10160,1125,hulkenberg,9,1:35.068,1:34.667,1:34.604
10161,1125,bottas,10,1:35.169,1:34.769,1:34.665
10162,1125,stroll,11,1:35.334,1:34.838,\N
10163,1125,ricciardo,12,1:35.443,1:34.934,\N
10164,1125,ocon,13,1:35.356,1:35.223,\N
10165,1125,albon,14,1:35.384,1:35.241,\N
10166,1125,gasly,15,1:35.287,1:35.463,\N
10167,1125,zhou,16,1:35.505,\N,\N
10168,1125,kevin_magnussen,17,1:35.516,\N,\N
10169,1125,hamilton,18,1:35.573,\N,\N
10170,1125,tsunoda,19,1:35.746,\N,\N
10171,1125,sargeant,20,1:36.358,\N,\N
10172,1126,max_verstappen,1,1:27.689,1:27.566,1:27.241
10173,1126,leclerc,2,1:28.081,1:27.533,1:27.382
10174,1126,sainz,3,1:27.937,1:27.941,1:27.455
10175,1126,perez,4,1:27.772,1:27.839,1:27.460
10176,1126,norris,5,1:27.913,1:27.871,1:27.594
10177,1126,piastri,6,1:28.032,1:27.721,1:27.675
10178,1126,russell,7,1:28.159,1:28.095,1:28.067
10179,1126,hamilton,8,1:28.167,1:27.697,1:28.107
10180,1126,hulkenberg,9,1:28.383,1:28.200,1:28.146
10181,1126,tsunoda,10,1:28.324,1:28.167,1:28.192
10182,1126,stroll,11,1:28.177,1:28.222,\N
10183,1126,gasly,12,1:27.976,1:28.324,\N
10184,1126,ocon,13,1:28.209,1:28.371,\N
10185,1126,albon,14,1:28.343,1:28.413,\N
10186,1126,alonso,15,1:28.453,1:28.427,\N
10187,1126,bottas,16,1:28.463,\N,\N
10188,1126,sargeant,17,1:28.487,\N,\N
10189,1126,ricciardo,18,1:28.617,\N,\N
10190,1126,kevin_magnussen,19,1:28.619,\N,\N
10191,1126,zhou,20,1:28.824,\N,\N
10192,1127,max_verstappen,1,1:15.762,1:15.176,1:14.746
10193,1127,piastri,2,1:15.940,1:15.407,1:14.820
10194,1127,norris,3,1:15.915,1:15.371,1:14.837
10195,1127,leclerc,4,1:15.823,1:15.328,1:14.970
10196,1127,sainz,5,1:16.015,1:15.512,1:15.233
10197,1127,russell,6,1:16.107,1:15.671,1:15.234
10198,1127,tsunoda,7,1:15.894,1:15.358,1:15.465
10199,1127,hamilton,8,1:16.604,1:15.677,1:15.504
10200,1127,ricciardo,9,1:16.060,1:15.691,1:15.674
10201,1127,hulkenberg,10,1:15.841,1:15.569,1:15.980
10202,1127,perez,11,1:16.404,1:15.706,
10203,1127,ocon,12,1:16.361,1:15.906,
10204,1127,stroll,13,1:16.458,1:15.992,
10205,1127,albon,14,1:16.524,1:16.200,
10206,1127,gasly,15,1:16.015,1:16.381,
10207,1127,bottas,16,1:16.626,,
10208,1127,zhou,17,1:16.834,,
10209,1127,kevin_magnussen,18,1:16.854,,
10210,1127,alonso,19,1:16.917,,
10211,1127,sargeant,20,\N,\N,\N
10212,1128,leclerc,1,1:11.584,1:10.825,1:10.270
10213,1128,piastri,2,1:11.500,1:10.756,1:10.424
10214,1128,sainz,3,1:11.543,1:11.075,1:10.518
10215,1128,norris,4,1:11.760,1:10.732,1:10.542
10216,1128,russell,5,1:11.492,1:10.929,1:10.543
10217,1128,max_verstappen,6,1:11.711,1:10.745,1:10.567
10218,1128,hamilton,7,1:11.528,1:11.056,1:10.621
10219,1128,tsunoda,8,1:11.852,1:11.106,1:10.858
10220,1128,albon,9,1:11.623,1:11.216,1:10.948
10221,1128,gasly,10,1:11.714,1:10.896,1:11.311
10222,1128,ocon,11,1:11.887,1:11.285,\N
10223,1128,hulkenberg,12,1:11.876,1:11.440,\N
10224,1128,ricciardo,13,1:11.785,1:11.482,\N
10225,1128,stroll,14,1:11.728,1:11.563,\N
10226,1128,kevin_magnussen,15,1:11.832,1:11.725,\N
10227,1128,alonso,16,1:12.019,\N,\N
10228,1128,sargeant,17,1:12.020,\N,\N
10229,1128,perez,18,1:12.060,\N,\N
10230,1128,bottas,19,1:12.512,\N,\N
10231,1128,zhou,20,1:13.028,\N,\N
10232,1129,russell,1,1:13.013,1:11.742,1:12.000
10233,1129,max_verstappen,2,1:12.360,1:12.549,1:12.000
10234,1129,norris,3,1:12.959,1:12.201,1:12.021
10235,1129,piastri,4,1:12.907,1:12.462,1:12.103
10236,1129,ricciardo,5,1:13.240,1:12.572,1:12.178
10237,1129,alonso,6,1:13.117,1:12.635,1:12.228
10238,1129,hamilton,7,1:12.851,1:11.979,1:12.280
10239,1129,tsunoda,8,1:12.748,1:12.303,1:12.414
10240,1129,stroll,9,1:13.088,1:12.659,1:12.701
10241,1129,albon,10,1:12.896,1:12.485,1:12.796
10242,1129,leclerc,11,1:13.107,1:12.691,\N
10243,1129,sainz,12,1:13.038,1:12.728,\N
10244,1129,sargeant,13,1:13.063,1:12.736,\N
10245,1129,kevin_magnussen,14,1:13.217,1:12.916,\N
10246,1129,gasly,15,1:13.289,1:12.940,\N
10247,1129,perez,16,1:13.326,\N,\N
10248,1129,bottas,17,1:13.366,\N,\N
10249,1129,ocon,18,1:13.435,\N,\N
10250,1129,hulkenberg,19,1:13.978,\N,\N
10251,1129,zhou,20,1:14.292,\N,\N
10252,1130,norris,1,1:12.386,1:11.872,1:11.383
10253,1130,max_verstappen,2,1:12.306,1:11.653,1:11.403
10254,1130,hamilton,3,1:12.143,1:11.792,1:11.701
10255,1130,russell,4,1:12.456,1:11.812,1:11.703
10256,1130,leclerc,5,1:12.257,1:12.038,1:11.731
10257,1130,sainz,6,1:12.403,1:11.874,1:11.736
10258,1130,gasly,7,1:12.651,1:12.079,1:11.857
10259,1130,perez,8,1:12.477,1:12.054,1:12.061
10260,1130,ocon,9,1:12.691,1:12.109,1:12.125
10261,1130,piastri,10,1:12.460,1:12.011,\N
10262,1130,alonso,11,1:12.505,1:12.128,\N
10263,1130,bottas,12,1:12.758,1:12.227,\N
10264,1130,hulkenberg,13,1:12.708,1:12.310,\N
10265,1130,stroll,14,1:12.881,1:12.372,\N
10266,1130,zhou,15,1:12.880,1:12.738,\N
10267,1130,kevin_magnussen,16,1:12.937,\N,\N
10268,1130,tsunoda,17,1:12.985,\N,\N
10269,1130,ricciardo,18,1:13.075,\N,\N
10270,1130,albon,19,1:13.153,\N,\N
10271,1130,sargeant,20,1:13.509,\N,\N
10272,1131,max_verstappen,1,1:05.336,1:04.469,1:04.314
10273,1131,norris,2,1:05.450,1:05.103,1:04.718
10274,1131,russell,3,1:05.585,1:05.016,1:04.840
10275,1131,sainz,4,1:05.263,1:05.016,1:04.851
10276,1131,hamilton,5,1:05.541,1:05.053,1:04.903
10277,1131,leclerc,6,1:05.509,1:05.104,1:05.044
10278,1131,piastri,7,1:05.311,1:05.070,1:05.048
10279,1131,perez,8,1:05.587,1:05.144,1:05.202
10280,1131,hulkenberg,9,1:05.596,1:05.262,1:05.385
10281,1131,ocon,10,1:05.574,1:05.274,1:05.883
10282,1131,ricciardo,11,1:05.569,1:05.289,\N
10283,1131,kevin_magnussen,12,1:05.508,1:05.347,\N
10284,1131,gasly,13,1:05.598,1:05.359,\N
10285,1131,tsunoda,14,1:05.563,1:05.412,\N
10286,1131,alonso,15,1:05.656,1:05.639,\N
10287,1131,albon,16,1:05.736,\N,\N
10288,1131,stroll,17,1:05.819,\N,\N
10289,1131,bottas,18,1:05.847,\N,\N
10290,1131,sargeant,19,1:05.856,\N,\N
10291,1131,zhou,20,1:06.061,\N,\N
10292,1132,russell,1,1:30.106,1:26.723,1:25.819
10293,1132,hamilton,2,1:29.547,1:26.770,1:25.990
10294,1132,norris,3,1:31.596,1:26.559,1:26.030
10295,1132,max_verstappen,4,1:31.342,1:26.796,1:26.203
10296,1132,piastri,5,1:30.895,1:26.733,1:26.237
10297,1132,hulkenberg,6,1:31.929,1:26.847,1:26.338
10298,1132,sainz,7,1:30.557,1:26.843,1:26.509
10299,1132,stroll,8,1:31.410,1:26.938,1:26.585
10300,1132,albon,9,1:31.135,1:26.933,1:26.640
10301,1132,alonso,10,1:31.264,1:26.730,1:26.917
10302,1132,leclerc,11,1:30.496,1:27.097,\N
10303,1132,sargeant,12,1:31.608,1:27.175,\N
10304,1132,tsunoda,13,1:30.994,1:27.269,\N
10305,1132,zhou,14,1:31.190,1:27.867,\N
10306,1132,ricciardo,15,1:31.291,1:27.949,\N
10307,1132,bottas,16,1:32.431,\N,\N
10308,1132,kevin_magnussen,17,1:32.905,\N,\N
10309,1132,ocon,18,1:34.557,\N,\N
10310,1132,perez,19,1:38.348,\N,\N
10311,1132,gasly,20,1:39.804,\N,\N
10312,1133,norris,1,1:17.755,1:15.540,1:15.227
10313,1133,piastri,2,1:17.504,1:15.785,1:15.249
10314,1133,max_verstappen,3,1:17.087,1:15.770,1:15.273
10315,1133,sainz,4,1:17.244,1:15.885,1:15.696
10316,1133,hamilton,5,1:17.087,1:16.307,1:15.854
10317,1133,leclerc,6,1:17.437,1:15.891,1:15.905
10318,1133,alonso,7,1:17.624,1:16.117,1:16.043
10319,1133,stroll,8,1:17.405,1:16.075,1:16.244
10320,1133,ricciardo,9,1:17.050,1:16.202,1:16.447
10321,1133,tsunoda,10,1:17.436,1:16.121,1:16.477
10322,1133,hulkenberg,11,1:17.362,1:16.317,\N
10323,1133,bottas,12,1:17.487,1:16.384,\N
10324,1133,albon,13,1:17.280,1:16.429,\N
10325,1133,sargeant,14,1:17.770,1:16.543,\N
10326,1133,kevin_magnussen,15,1:17.851,1:16.548,\N
10327,1133,perez,16,1:17.886,\N,\N
10328,1133,russell,17,1:17.968,\N,\N
10329,1133,zhou,18,1:18.037,\N,\N
10330,1133,ocon,19,1:18.049,\N,\N
10331,1133,gasly,20,1:18.166,\N,\N
10332,1134,max_verstappen,1,1:54.938,1:53.837,1:53.159
10333,1134,leclerc,2,1:55.349,1:54.193,1:53.754
10334,1134,perez,3,1:55.139,1:54.470,1:53.765
10335,1134,hamilton,4,1:55.692,1:54.037,1:53.835
10336,1134,norris,5,1:55.582,1:54.358,1:53.981
10337,1134,piastri,6,1:54.835,1:54.136,1:54.027
10338,1134,russell,7,1:55.353,1:54.095,1:54.184
10339,1134,sainz,8,1:55.169,1:54.112,1:54.477
10340,1134,alonso,9,1:55.489,1:54.258,1:54.765
10341,1134,ocon,10,1:55.417,1:54.460,1:54.810
10342,1134,albon,11,1:55.722,1:54.473,\N
10343,1134,gasly,12,1:54.911,1:54.635,\N
10344,1134,ricciardo,13,1:55.451,1:54.682,\N
10345,1134,bottas,14,1:55.531,1:54.764,\N
10346,1134,stroll,15,1:56.072,1:55.716,\N
10347,1134,hulkenberg,16,1:56.308,\N,\N
10348,1134,kevin_magnussen,17,1:56.500,\N,\N
10349,1134,tsunoda,18,1:56.593,\N,\N
10350,1134,sargeant,19,1:57.230,\N,\N
10351,1134,zhou,20,1:57.775,\N,\N
10352,1135,norris,1,1:11.377,1:10.496,1:09.673
10353,1135,max_verstappen,2,1:11.393,1:10.811,1:10.029
10354,1135,piastri,3,1:11.541,1:10.505,1:10.172
10355,1135,russell,4,1:11.049,1:10.552,1:10.244
10356,1135,perez,5,1:11.006,1:10.678,1:10.416
10357,1135,leclerc,6,1:11.370,1:10.689,1:10.582
10358,1135,alonso,7,1:11.493,1:10.845,1:10.633
10359,1135,stroll,8,1:11.518,1:10.661,1:10.857
10360,1135,gasly,9,1:11.718,1:10.815,1:10.977
10361,1135,sainz,10,1:11.327,1:10.914,
10362,1135,hamilton,11,1:11.375,1:10.948,
10363,1135,tsunoda,12,1:11.603,1:10.955,
10364,1135,hulkenberg,13,1:11.832,1:11.215,
10365,1135,kevin_magnussen,14,1:11.630,1:11.295,
10366,1135,ricciardo,15,1:11.943,,
10367,1135,ocon,16,1:11.995,,
10368,1135,bottas,17,1:12.168,,
10369,1135,zhou,18,1:13.261,,
10370,1135,albon,19,\N,\N,\N
10371,1135,sargeant,20,\N,\N,\N
10372,1136,norris,1,1:19.911,1:19.727,1:19.327
10373,1136,piastri,2,1:20.076,1:19.808,1:19.436
10374,1136,russell,3,1:20.169,1:19.877,1:19.440
10375,1136,leclerc,4,1:20.074,1:20.007,1:19.461
10376,1136,sainz,5,1:20.149,1:19.799,1:19.467
10377,1136,hamilton,6,1:20.477,1:19.641,1:19.513
10378,1136,max_verstappen,7,1:20.226,1:19.662,1:20.022
10379,1136,perez,8,1:20.598,1:20.216,1:20.062
10380,1136,albon,9,1:20.542,1:20.314,1:20.299
10381,1136,hulkenberg,10,1:20.781,1:20.411,1:20.339
10382,1136,alonso,11,1:20.617,1:20.421,\N
10383,1136,ricciardo,12,1:20.901,1:20.479,\N
10384,1136,kevin_magnussen,13,1:20.856,1:20.698,\N
10385,1136,gasly,14,1:20.748,1:20.738,\N
10386,1136,ocon,15,1:20.764,1:20.766,\N
10387,1136,tsunoda,16,1:20.945,\N,\N
10388,1136,stroll,17,1:21.013,\N,\N
10389,1136,colapinto,18,1:21.061,\N,\N
10390,1136,bottas,19,1:21.101,\N,\N
10391,1136,zhou,20,1:21.445,\N,\N
10392,1137,leclerc,1,1:42.775,1:42.056,1:41.365
10393,1137,piastri,2,1:43.033,1:42.598,1:41.686
10394,1137,sainz,3,1:43.357,1:42.503,1:41.805
10395,1137,perez,4,1:43.213,1:42.263,1:41.813
10396,1137,russell,5,1:43.139,1:42.329,1:41.874
10397,1137,max_verstappen,6,1:43.097,1:42.042,1:42.023
10398,1137,hamilton,7,1:43.089,1:42.765,1:42.289
10399,1137,alonso,8,1:43.472,1:42.426,1:42.369
10400,1137,colapinto,9,1:43.138,1:42.473,1:42.530
10401,1137,albon,10,1:42.899,1:42.840,1:42.859
10402,1137,bearman,11,1:43.471,1:42.968,
10403,1137,tsunoda,12,1:43.337,1:43.035,
10404,1137,hulkenberg,13,1:43.101,1:43.191,
10405,1137,stroll,14,1:43.370,1:43.404,
10406,1137,ricciardo,15,1:43.547,,
10407,1137,norris,16,1:43.609,,
10408,1137,bottas,17,1:43.618,,
10409,1137,zhou,18,1:44.246,,
10410,1137,ocon,19,1:44.504,,
10411,1137,gasly,20,1:43.088,1:43.179,
10412,1138,norris,1,1:30.002,1:30.007,1:29.525
10413,1138,max_verstappen,2,1:30.157,1:29.680,1:29.728
10414,1138,hamilton,3,1:30.393,1:29.929,1:29.841
10415,1138,russell,4,1:30.811,1:30.153,1:29.867
10416,1138,piastri,5,1:30.258,1:29.640,1:29.953
10417,1138,hulkenberg,6,1:30.724,1:30.150,1:30.115
10418,1138,alonso,7,1:30.684,1:30.450,1:30.214
10419,1138,tsunoda,8,1:30.710,1:30.289,1:30.354
10420,1138,leclerc,9,1:30.786,1:29.747,\N
10421,1138,sainz,10,1:30.670,1:30.108,\N
10422,1138,albon,11,1:30.679,1:30.474,\N
10423,1138,colapinto,12,1:30.704,1:30.481,\N
10424,1138,perez,13,1:30.624,1:30.579,\N
10425,1138,kevin_magnussen,14,1:30.829,1:30.653,\N
10426,1138,ocon,15,1:30.958,1:30.769,\N
10427,1138,ricciardo,16,1:31.085,\N,\N
10428,1138,stroll,17,1:31.094,\N,\N
10429,1138,gasly,18,1:31.312,\N,\N
10430,1138,bottas,19,1:31.572,\N,\N
10431,1138,zhou,20,1:32.054,\N,\N
10432,1139,norris,1,1:33.616,1:32.851,1:32.330
10433,1139,max_verstappen,2,1:33.046,1:32.584,1:32.361
10434,1139,sainz,3,1:33.556,1:32.836,1:32.652
10435,1139,leclerc,4,1:33.241,1:32.962,1:32.740
10436,1139,piastri,5,1:33.864,1:33.057,1:32.950
10437,1139,russell,6,1:33.536,1:33.142,1:32.974
10438,1139,gasly,7,1:33.550,1:33.162,1:33.018
10439,1139,alonso,8,1:33.973,1:33.429,1:33.309
10440,1139,kevin_magnussen,9,1:33.564,1:33.474,1:33.481
10441,1139,perez,10,1:33.611,1:33.020,\N
10442,1139,tsunoda,11,1:33.795,1:33.506,\N
10443,1139,hulkenberg,12,1:33.601,1:33.544,\N
10444,1139,ocon,13,1:33.986,1:33.597,\N
10445,1139,stroll,14,1:34.033,1:33.759,\N
10446,1139,lawson,15,1:33.339,\N,\N
10447,1139,albon,16,1:34.051,\N,\N
10448,1139,colapinto,17,1:34.062,\N,\N
10449,1139,bottas,18,1:34.152,\N,\N
10450,1139,hamilton,19,1:34.154,\N,\N
10451,1139,zhou,20,1:34.228,\N,\N
10452,1140,sainz,1,1:16.778,1:16.515,1:15.946
10453,1140,max_verstappen,2,1:16.803,1:16.514,1:16.171
10454,1140,norris,3,1:16.505,1:16.301,1:16.260
10455,1140,leclerc,4,1:16.972,1:16.641,1:16.265
10456,1140,russell,5,1:17.194,1:16.937,1:16.356
10457,1140,hamilton,6,1:17.306,1:16.973,1:16.651
10458,1140,kevin_magnussen,7,1:17.125,1:17.003,1:16.886
10459,1140,gasly,8,1:17.149,1:17.048,1:16.892
10460,1140,albon,9,1:17.189,1:16.988,1:17.065
10461,1140,hulkenberg,10,1:17.186,1:16.995,1:17.365
10462,1140,tsunoda,11,1:17.182,1:17.129,\N
10463,1140,lawson,12,1:17.380,1:17.162,\N
10464,1140,alonso,13,1:17.307,1:17.168,\N
10465,1140,stroll,14,1:17.407,1:17.294,\N
10466,1140,bottas,15,1:17.393,1:17.817,\N
10467,1140,colapinto,16,1:17.558,\N,\N
10468,1140,piastri,17,1:17.597,\N,\N
10469,1140,perez,18,1:17.611,\N,\N
10470,1140,ocon,19,1:17.617,\N,\N
10471,1140,zhou,20,1:18.072,\N,\N
10472,1141,norris,1,1:30.944,1:24.844,1:23.405
10473,1141,russell,2,1:29.121,1:26.307,1:23.578
10474,1141,tsunoda,3,1:29.172,1:26.464,1:24.111
10475,1141,ocon,4,1:29.171,1:26.206,1:24.475
10476,1141,lawson,5,1:30.758,1:25.654,1:24.484
10477,1141,leclerc,6,1:29.839,1:26.097,1:24.525
10478,1141,albon,7,1:29.072,1:25.889,1:24.657
10479,1141,piastri,8,1:30.114,1:25.179,1:24.686
10480,1141,alonso,9,1:30.207,1:25.035,1:28.998
10481,1141,stroll,10,1:30.580,1:26.334,\N
10482,1141,bottas,11,1:30.633,1:26.472,\N
10483,1141,max_verstappen,12,1:28.522,1:27.771,\N
10484,1141,perez,13,1:30.035,1:28.158,\N
10485,1141,sainz,14,1:30.303,1:29.406,\N
10486,1141,gasly,15,1:29.420,1:29.614,\N
10487,1141,hamilton,16,1:31.150,\N,\N
10488,1141,bearman,17,1:31.229,\N,\N
10489,1141,colapinto,18,1:31.270,\N,\N
10490,1141,hulkenberg,19,1:31.623,\N,\N
10491,1141,zhou,20,1:32.263,\N,\N
10492,1142,russell,1,1:33.186,1:32.779,1:32.312
10493,1142,sainz,2,1:33.484,1:32.711,1:32.410
10494,1142,gasly,3,1:33.691,1:32.879,1:32.664
10495,1142,leclerc,4,1:33.446,1:33.016,1:32.783
10496,1142,max_verstappen,5,1:33.299,1:33.085,1:32.797
10497,1142,norris,6,1:33.592,1:33.099,1:33.008
10498,1142,tsunoda,7,1:33.789,1:33.089,1:33.029
10499,1142,piastri,8,1:33.450,1:33.024,1:33.033
10500,1142,hulkenberg,9,1:33.920,1:33.114,1:33.062
10501,1142,hamilton,10,1:33.225,1:32.567,1:48.106
10502,1142,ocon,11,1:33.968,1:33.221,\N
10503,1142,kevin_magnussen,12,1:33.991,1:33.297,\N
10504,1142,zhou,13,1:34.079,1:33.566,\N
10505,1142,colapinto,14,1:33.746,1:33.749,\N
10506,1142,lawson,15,1:34.087,1:34.257,\N
10507,1142,perez,16,1:34.155,\N,\N
10508,1142,alonso,17,1:34.258,\N,\N
10509,1142,albon,18,1:34.425,\N,\N
10510,1142,bottas,19,1:34.430,\N,\N
10511,1142,stroll,20,1:34.484,\N,\N
10512,1143,max_verstappen,1,1:21.579,1:20.687,1:20.520
10513,1143,russell,2,1:21.241,1:21.069,1:20.575
10514,1143,norris,3,1:21.578,1:20.983,1:20.772
10515,1143,piastri,4,1:21.821,1:21.121,1:20.829
10516,1143,leclerc,5,1:21.278,1:21.000,1:20.852
10517,1143,hamilton,6,1:21.637,1:21.095,1:21.011
10518,1143,sainz,7,1:21.447,1:21.199,1:21.041
10519,1143,alonso,8,1:21.608,1:21.208,1:21.251
10520,1143,perez,9,1:21.675,1:21.425,1:21.425
10521,1143,kevin_magnussen,10,1:21.891,1:21.387,1:21.500
10522,1143,gasly,11,1:21.843,1:21.437,\N
10523,1143,zhou,12,1:22.103,1:21.501,\N
10524,1143,bottas,13,1:21.927,1:21.731,\N
10525,1143,tsunoda,14,1:22.364,1:21.771,\N
10526,1143,stroll,15,1:22.011,1:21.911,\N
10527,1143,albon,16,1:22.390,\N,\N
10528,1143,lawson,17,1:22.411,\N,\N
10529,1143,hulkenberg,18,1:22.442,\N,\N
10530,1143,colapinto,19,1:22.594,\N,\N
10531,1143,ocon,20,1:22.714,\N,\N
10532,1144,norris,1,1:23.682,1:23.098,1:22.595
10533,1144,piastri,2,1:23.640,1:23.199,1:22.804
10534,1144,sainz,3,1:23.487,1:22.985,1:22.824
10535,1144,hulkenberg,4,1:23.722,1:23.040,1:22.886
10536,1144,max_verstappen,5,1:23.516,1:22.998,1:22.945
10537,1144,gasly,6,1:23.548,1:23.086,1:22.984
10538,1144,russell,7,1:23.678,1:23.283,1:23.132
10539,1144,alonso,8,1:23.794,1:23.268,1:23.196
10540,1144,bottas,9,1:23.481,1:23.341,1:23.204
10541,1144,perez,10,1:23.559,1:23.379,1:23.264
10542,1144,tsunoda,11,1:23.735,1:23.419,\N
10543,1144,lawson,12,1:23.733,1:23.472,\N
10544,1144,stroll,13,1:23.729,1:23.784,\N
10545,1144,leclerc,14,1:23.302,1:23.833,\N
10546,1144,kevin_magnussen,15,1:23.632,1:23.877,\N
10547,1144,albon,16,1:23.821,\N,\N
10548,1144,zhou,17,1:23.880,\N,\N
10549,1144,hamilton,18,1:23.887,\N,\N
10550,1144,colapinto,19,1:23.912,\N,\N
10551,1144,doohan,20,1:24.105,\N,\N
